year_of_death,count
2017,2
2017,3
2017,1
2017,2
2017,2
2017,4
2017,2
2017,1
2017,2
2017,4
2017,5
2017,2
2017,3
2017,1
2017,3
2017,10
2017,13
2017,1
2017,1
2017,1
2017,2
2017,2
2017,2
2017,3
2017,1
2017,2
2017,1
2017,1
2017,2
2017,4
2017,4
2017,5
2017,8
2018,1
2018,2
2018,2
2018,1
2018,1
2018,1
2018,5
2018,7
2018,1
2018,2
2018,8
2018,1
2018,8
2018,13
2018,1
2018,2
2018,2
2018,3
2018,3
2018,4
2018,1
2018,1
2018,2
2018,1
2018,1
2018,2
2018,1
2018,3
2018,1
2018,3
2018,5
2018,5
2019,2
2019,3
2019,1
2019,1
2019,2
2019,1
2019,2
2019,1
2019,5
2019,1
2019,1
2019,1
2019,3
2019,9
2019,4
2019,9
2019,4
2019,8
2019,14
2019,1
2019,1
2019,2
2019,3
2019,1
2019,1
2019,1
2019,2
2019,1
2019,2
2019,3
2019,1
2019,1
2019,3
2019,3
2019,1
2019,1
2019,1
2019,1
2019,3
2019,3
2019,9
2019,9
2019,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,3
2020,10
2020,2
2020,5
2020,10
2020,1
2020,1
2020,9
2020,21
2020,26
2020,1
2020,1
2020,2
2020,1
2020,2
2020,1
2020,2
2020,3
2020,2
2020,1
2020,3
2020,1
2020,3
2020,1
2020,2
2020,4
2020,16
2021,1
2021,1
2021,3
2021,1
2021,1
2021,2
2021,1
2021,2
2021,1
2021,2
2021,1
2021,3
2021,1
2021,4
2021,10
2021,1
2021,1
2021,9
2021,16
2021,1
2021,1
2021,6
2021,39
2021,51
2021,1
2021,1
2021,1
2021,2
2021,4
2021,6
2021,1
2021,1
2021,1
2021,2
2021,2
2021,2
2021,1
2021,2
2021,2
2021,3
2021,3
2021,4
2021,5
2021,10
2021,1
2021,3
2022,1
2022,2
2022,3
2022,1
2022,2
2022,1
2022,2
2022,5
2022,1
2022,2
2022,1
2022,1
2022,5
2022,12
2022,1
2022,2
2022,4
2022,15
2022,1
2022,10
2022,24
2022,33
2022,1
2022,1
2022,1
2022,2
2022,1
2022,1
2022,1
2022,1
2022,2
2022,2
2022,1
2022,1
2022,5
2022,8
2022,9
2022,19
2022,4
2023,1
2023,1
2023,1
2023,1
2023,2
2023,1
2023,3
2023,4
2023,13
2023,16
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,3
2023,2
2023,2
2023,7
2023,13
2023,1
